stage,topology_seed,dynamics_seed,arm,detected_index,event_time_ms,primary_eligible,primary_exclusion_reasons,prolonged,n_unique_contacts,n_finite_centroids,multiple_local_bursts_contact_fraction,median_mass_outside_detection,mode,support_state,distance_mode0,distance_mode1,in_primary_window,window_start_ms,window_end_ms,qualifying_start_ms,qualifying_end_ms,centroid_SCL9_ms,centroid_ICL11_ms,centroid_SCL8_ms,centroid_ICL10_ms,centroid_SCL7_ms,centroid_ICL9_ms,centroid_ICL8_ms,centroid_SCL6_ms,centroid_ICL7_ms,centroid_ICL6_ms,centroid_ICL5_ms,centroid_ICL4_ms,centroid_ICL3_ms,centroid_ICL2_ms,centroid_ICL1_ms,route_upper_SCL_n,route_upper_SCL_ms,route_right_ICL_n,route_right_ICL_ms,route_middle_ICL_n,route_middle_ICL_ms,route_left_ICL_n,route_left_ICL_ms,route_middle_before_both_ICL_ends,route_right_before_upper_and_left,route_upper_and_left_before_right
screen,2511,820102,B1,37,18910.0,False,overlapping_window,False,9,9,0.0,0.060155741575659234,1,-1,1.1199622202418111,0.9126430506138169,True,18784.0,19034.0,18900.0,18920.0,18801.484375,,,,,18887.64453125,18893.9765625,,18902.224609375,18908.701171875,18916.056640625,18923.04296875,18932.810546875,,18880.515625,1,18801.484375,1,18880.515625,4,18905.462890625,1,18887.64453125,False,False,False
screen,2511,820102,B1,38,19146.0,False,overlapping_window,False,11,11,0.0,0.03927621972530638,1,-1,0.7066726050561355,0.7278066500847171,True,19020.0,19270.0,19108.0,19184.0,19099.19140625,19136.306640625,19086.142578125,19139.439453125,,19145.099609375,19151.5703125,,19158.30859375,19165.33203125,,,19144.58984375,19151.01953125,19157.357421875,2,19092.6669921875,2,19154.1884765625,3,19158.30859375,3,19139.439453125,False,False,True
screen,2511,820102,B1,39,19403.0,True,,False,9,9,0.0,0.030261929925588904,1,1,0.5564255613204152,0.37981143021157754,True,19278.0,19528.0,19378.0,19428.0,,,,19379.080078125,,19385.302734375,19391.32421875,,19397.607421875,19403.0,19408.81640625,19414.541015625,19419.529296875,,19439.76171875,0,,1,19439.76171875,4,19400.3037109375,2,19382.19140625,False,,
screen,2511,820102,B1,40,19656.0,True,,False,11,11,0.0,0.04735045021064755,1,1,0.571507335454563,0.42700068738472324,True,19530.0,19780.0,19620.0,19692.0,,,,,19609.244140625,19641.2890625,19648.36328125,19620.1796875,19654.6953125,19660.505859375,19668.4296875,19676.85546875,19655.43359375,19661.83203125,19667.431640625,2,19614.7119140625,2,19664.6318359375,4,19657.6005859375,1,19641.2890625,False,False,True
screen,2511,820102,B1,41,20096.0,True,,False,14,14,0.0,0.026397730475415264,1,-1,1.045706922883039,0.833506810375894,True,19970.0,20220.0,20054.0,20138.0,20003.2890625,20082.45703125,20011.642578125,20088.00390625,20017.32421875,20093.84375,20096.271484375,20025.947265625,20100.3671875,20104.052734375,20109.595703125,20115.529296875,20124.2109375,20132.982421875,,4,20014.4833984375,1,20132.982421875,4,20102.2099609375,3,20088.00390625,False,False,True
screen,2511,820102,B1,42,20922.0,True,,False,12,12,0.0,0.03225574171454136,1,1,0.6244933374818894,0.361144640827186,True,20796.0,21046.0,20888.0,20956.0,20905.181640625,,20896.14453125,,20890.67578125,,20911.84375,20881.263671875,20918.517578125,20924.3984375,20931.2890625,20938.546875,20946.388671875,20954.583984375,20962.96484375,4,20893.41015625,2,20958.7744140625,4,20921.4580078125,0,,,,
screen,2511,820102,B1,43,21186.0,False,overlapping_window,False,13,13,0.0,0.04007566296145944,0,0,0.7111083266632644,0.7429317351426935,True,21060.0,21310.0,21146.0,21226.0,21135.3984375,21209.216796875,21127.421875,21204.115234375,21124.310546875,21197.134765625,21190.169921875,21123.931640625,21184.72265625,21185.37890625,21193.609375,21199.8984375,,,21144.0234375,4,21125.8662109375,1,21144.0234375,4,21187.7744140625,3,21204.115234375,False,False,False
screen,2511,820102,B1,44,21430.0,False,overlapping_window,False,11,11,0.0,0.03184119493501596,1,0,0.6708276059850425,0.618740501851922,True,21304.0,21554.0,21412.0,21448.0,21384.740234375,,21387.888671875,,21393.0546875,,21444.921875,21401.96875,21450.865234375,21456.125,21462.314453125,21470.6953125,,21449.251953125,21454.591796875,4,21390.4716796875,2,21451.921875,4,21453.4951171875,0,,,,
screen,2511,820102,B1,45,21982.0,True,,False,12,12,0.0,0.04864254195597156,0,0,0.7267648051671265,0.8075742135150803,True,21856.0,22106.0,21952.0,22012.0,21945.6015625,22018.6015625,21936.80859375,22012.478515625,21930.96484375,22005.322265625,21993.537109375,21921.9453125,,21982.37890625,,,21971.384765625,21977.205078125,21983.45703125,4,21933.88671875,2,21980.3310546875,2,21987.9580078125,3,22012.478515625,False,False,False
screen,2511,820102,B1,46,22283.0,True,,False,12,12,0.16666666666666666,0.037987313840482484,0,-1,1.3587851784038554,1.431115244488454,True,22158.0,22408.0,22270.0,22296.0,22167.44140625,,22162.232421875,22301.482421875,,22306.07421875,22311.216796875,,22319.458984375,22325.82421875,22303.4375,22271.6015625,22246.75390625,22252.8125,22258.31640625,2,22164.8369140625,2,22255.564453125,4,22315.337890625,2,22303.7783203125,False,False,False
