candidate,noise,L,TB_n,TA_n,TB_order,TB_lag,TB_leftreturn,TB_leftreturn_n,TA_part,TA_lag
up3__ellipse4_out_perp20,847102,13.468732421478121,96,4,0.40012577156127055,36.09166695032218,0.010416666666666666,96,1.0,-20.327136812897834
up3__ellipse4_orthogonal,847102,6.488817201726835,94,35,0.34736559190993066,36.254561754067254,0.10752688172043011,93,0.5571428571428572,49.006490795236914
endpoint__ellipse9,847102,9.100004988559899,85,19,0.39748662123002615,36.15448448242387,0.012195121951219513,82,0.15789473684210525,33.137896439806354
up3__ellipse4__core_ou_correlation_0.5,847102,9.223560935220535,94,8,0.3696581287752154,35.97654086226248,0.12087912087912088,91,0.5,33.75426277882798
up3__ellipse4__EE_same_core_scale_1.0,847101,8.253106155231212,142,32,0.37538600379145226,35.45650743486658,0.04225352112676056,142,0.546875,-23.888483499100403
up3__circle__core_ou_correlation_1.0,847101,11.44489921172222,98,5,0.38999383734242943,36.501914880806,0.05319148936170213,94,1.0,107.1312194783095
endpoint__ellipse4_out_perp20,847102,11.605860409642931,88,8,0.39428890628736135,36.14273438077362,0.056818181818181816,88,0.75,-0.47563853779865894
up3__out_angle_p15,847101,5.750770677980487,77,35,0.3605200189197415,36.48151693368709,0.1891891891891892,74,0.6285714285714286,86.49709028432972
up3__circle__depth_A_scale_0.75,847101,10.459167158632233,90,11,0.37830374219344387,36.192821008915416,0.056818181818181816,88,0.9545454545454546,91.8409742705262
endpoint__radius25_dose_matched,847102,9.325185029892909,82,17,0.38981598563933734,36.344569942128146,0.0,79,0.4411764705882353,99.60779916474166
up3__circle__EI_same_core_scale_0.75,847102,3.8527920319701416,95,69,0.3352444678858333,34.57084824454796,0.010526315789473684,95,0.2753623188405797,-19.1399336111499
up3__ellipse4__EI_same_core_scale_0.75,847101,7.487907180538135,117,39,0.3735159156241857,35.20983894557139,0.0,117,0.8461538461538461,-21.802013148939295
up3__ellipse4__EE_same_core_scale_0.75,847101,6.034715257038665,23,11,0.3654713804568213,45.15751373702369,0.045454545454545456,22,0.8636363636363636,16.379328978268404
up3__out_perp15,847102,12.254847907680507,90,6,0.39717781884997816,36.43419185490052,0.03333333333333333,90,0.8333333333333334,108.86103252712928
endpoint__out_perp20,847101,7.369856055157296,80,27,0.3937893879165208,35.92705682729138,0.0,80,0.9814814814814814,-23.885946979899018
up3__ellipse4__depth_A_scale_0.75,847102,12.173549997221762,100,6,0.40124323799368355,35.97601042167116,0.0,98,0.6666666666666667,68.01976838605628
up3__ellipse4_orthogonal,847101,6.0072749582890195,89,39,0.34439654450066187,36.287818728627826,0.09090909090909091,88,0.6923076923076923,85.14227088588814
up3__ellipse4__core_ou_correlation_1.0,847102,13.016223950562997,95,1,0.39376225817558835,36.12665927301077,0.05319148936170213,94,1.0,-41.95494298027734
up3__circle__depth_A_scale_1.25,847102,6.752655285248631,89,31,0.3073385490984899,55.11357877502451,0.14473684210526316,76,0.9354838709677419,92.53733078898995
endpoint__out_reference,847102,4.892915950462895,74,60,0.35899055334051533,36.482704030484456,0.0,72,0.6166666666666667,100.66965914684533
up3__ellipse9,847101,9.248225407052175,79,16,0.40460044820327007,36.0612547651981,0.012658227848101266,79,0.4375,-32.1357073017989
endpoint__radius25,847102,3.7937272535102986,52,52,0.33356451320667413,36.6432442581372,0.08888888888888889,45,0.5096153846153846,96.93864833880207
