epoch,iso,gpu,util_pct,memory_used_mib,memory_total_mib,temp_c,power_w
1788729659,2026-09-07T05:20:59+08:00,1,99,1665,24576,62,187.94
1788729689,2026-09-07T05:21:29+08:00,0,87,1651,24576,56,185.61
1788729689,2026-09-07T05:21:29+08:00,1,99,1665,24576,62,187.34
1788729719,2026-09-07T05:21:59+08:00,0,95,1651,24576,56,185.36
1788729719,2026-09-07T05:21:59+08:00,1,41,1665,24576,62,186.61
1788729749,2026-09-07T05:22:29+08:00,0,99,1651,24576,56,185.25
1788729749,2026-09-07T05:22:29+08:00,1,99,1665,24576,62,187.60
1788729780,2026-09-07T05:23:00+08:00,0,83,1651,24576,56,185.67
1788729780,2026-09-07T05:23:00+08:00,1,98,1665,24576,62,187.12
1788729810,2026-09-07T05:23:30+08:00,0,58,1651,24576,56,183.36
1788729810,2026-09-07T05:23:30+08:00,1,97,1665,24576,62,188.76
1788729840,2026-09-07T05:24:00+08:00,0,99,1651,24576,56,185.22
1788729840,2026-09-07T05:24:00+08:00,1,84,1665,24576,62,187.25
1788729870,2026-09-07T05:24:30+08:00,0,95,1651,24576,56,183.97
1788729870,2026-09-07T05:24:30+08:00,1,99,1665,24576,62,186.99
1788729900,2026-09-07T05:25:00+08:00,0,83,1651,24576,56,185.30
1788729900,2026-09-07T05:25:00+08:00,1,27,1665,24576,62,185.07
1788729930,2026-09-07T05:25:30+08:00,0,98,1651,24576,56,186.59
1788729930,2026-09-07T05:25:30+08:00,1,98,1665,24576,62,187.13
1788729960,2026-09-07T05:26:00+08:00,0,98,1653,24576,56,185.44
1788729960,2026-09-07T05:26:00+08:00,1,99,1665,24576,62,187.71
1788729990,2026-09-07T05:26:30+08:00,0,98,1653,24576,56,184.96
1788729990,2026-09-07T05:26:30+08:00,1,99,1665,24576,62,186.52
1788730020,2026-09-07T05:27:00+08:00,0,98,1653,24576,56,184.96
1788730020,2026-09-07T05:27:00+08:00,1,95,1665,24576,62,189.03
1788730050,2026-09-07T05:27:30+08:00,0,98,1653,24576,56,185.68
1788730050,2026-09-07T05:27:30+08:00,1,98,1665,24576,62,187.30
1788730080,2026-09-07T05:28:00+08:00,0,98,1653,24576,56,185.42
1788730080,2026-09-07T05:28:00+08:00,1,99,1665,24576,62,188.43
1788730111,2026-09-07T05:28:31+08:00,0,87,1653,24576,56,185.31
1788730111,2026-09-07T05:28:31+08:00,1,98,1665,24576,62,187.38
1788730141,2026-09-07T05:29:01+08:00,0,92,1653,24576,56,185.39
1788730141,2026-09-07T05:29:01+08:00,1,98,1665,24576,62,188.10
1788730171,2026-09-07T05:29:31+08:00,0,99,1653,24576,56,185.49
1788730171,2026-09-07T05:29:31+08:00,1,99,1665,24576,62,186.70
1788730201,2026-09-07T05:30:01+08:00,0,99,1653,24576,56,185.87
1788730201,2026-09-07T05:30:01+08:00,1,98,1665,24576,62,186.63
1788730231,2026-09-07T05:30:31+08:00,0,98,1653,24576,56,185.53
1788730231,2026-09-07T05:30:31+08:00,1,60,1665,24576,62,187.08
1788730261,2026-09-07T05:31:01+08:00,0,98,1653,24576,56,184.37
1788730261,2026-09-07T05:31:01+08:00,1,99,1665,24576,62,187.78
1788730291,2026-09-07T05:31:31+08:00,0,98,1653,24576,56,186.43
1788730291,2026-09-07T05:31:31+08:00,1,99,1665,24576,62,187.50
1788730321,2026-09-07T05:32:01+08:00,0,76,1653,24576,56,186.01
1788730321,2026-09-07T05:32:01+08:00,1,83,1665,24576,62,187.38
1788730351,2026-09-07T05:32:31+08:00,0,98,1653,24576,56,184.56
1788730351,2026-09-07T05:32:31+08:00,1,98,1665,24576,62,187.69
1788730381,2026-09-07T05:33:01+08:00,0,98,1653,24576,56,184.10
1788730381,2026-09-07T05:33:01+08:00,1,98,1665,24576,62,188.17
1788730411,2026-09-07T05:33:31+08:00,0,98,1653,24576,56,185.33
1788730411,2026-09-07T05:33:31+08:00,1,99,1665,24576,62,188.19
1788730441,2026-09-07T05:34:01+08:00,0,83,1653,24576,57,186.09
1788730441,2026-09-07T05:34:01+08:00,1,99,1665,24576,63,187.35
1788730472,2026-09-07T05:34:32+08:00,0,99,1653,24576,57,184.99
1788730472,2026-09-07T05:34:32+08:00,1,97,1665,24576,63,188.04
1788730502,2026-09-07T05:35:02+08:00,0,98,1653,24576,57,186.93
1788730502,2026-09-07T05:35:02+08:00,1,99,1665,24576,63,188.17
1788730532,2026-09-07T05:35:32+08:00,0,98,1653,24576,57,185.94
1788730532,2026-09-07T05:35:32+08:00,1,20,1535,24576,58,134.30
1788730562,2026-09-07T05:36:02+08:00,0,97,1653,24576,57,185.65
1788730562,2026-09-07T05:36:02+08:00,1,20,1535,24576,57,133.24
1788730592,2026-09-07T05:36:32+08:00,0,96,1653,24576,57,185.36
1788730592,2026-09-07T05:36:32+08:00,1,13,835,24576,56,132.60
1788730622,2026-09-07T05:37:02+08:00,0,99,1653,24576,56,184.70
1788730622,2026-09-07T05:37:02+08:00,1,69,1643,24576,57,183.62
1788730652,2026-09-07T05:37:32+08:00,0,64,1653,24576,56,185.28
1788730652,2026-09-07T05:37:32+08:00,1,99,1643,24576,60,184.87
1788730682,2026-09-07T05:38:02+08:00,0,98,1653,24576,56,185.15
