z,alpha_G,w_ee_mult,ratio,rE_khz,rI_khz,rE_hz,rI_hz,residual_inf,stability,branch_class,leading_real_per_ms,leading_imag_per_ms,leading_frequency_hz,S_G,divisor,lut_clip_at_root,jacobian_dimension
0.84,1.0,1.1,1.0,0.010307376176672604,0.016381375689917155,10.307376176672603,16.381375689917157,3.2810039407582536e-13,unstable,finite_high_root,0.0440890144688665,0.019043287757696314,3.0308333793587443,0.11126293594906841,1.1112629359490684,False,9
0.83,1.0,1.1,1.0,0.010731587062257636,0.01685418344511415,10.731587062257635,16.85418344511415,1.0755285551056204e-16,unstable,finite_high_root,0.041841120021829534,0.025038919296887414,3.9850677757786763,0.1274033405098385,1.1274033405098385,False,9
0.82,1.0,1.1,1.0,0.011140777762117297,0.017310617960482017,11.140777762117297,17.310617960482016,5.263289803991711e-13,unstable,finite_high_root,0.03938947061684629,0.030339046595909115,4.828609234434276,0.14353954289373272,1.1435395428937327,False,9
0.81,1.0,1.1,1.0,0.011547779473243001,0.017764392826289183,11.547779473243,17.764392826289182,3.521315183885321e-14,unstable,finite_high_root,0.05122337682638324,0.019546827063253225,3.110974148879187,0.1600510295705688,1.1600510295705688,False,9
0.8,1.0,1.1,1.0,0.011956598360868336,0.01821968259940725,11.956598360868336,18.21968259940725,2.139607935269794e-14,unstable,finite_high_root,0.04870571786910008,0.026053231845626093,4.146500631750577,0.1770127164370285,1.1770127164370285,False,9
1.0,2.0,1.1,1.0,0.00027150869483261826,0.005071934141905865,0.27150869483261825,5.071934141905865,9.162662508062358e-10,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.99,2.0,1.1,1.0,0.00030154826239313837,0.005106382760687327,0.30154826239313837,5.106382760687327,3.3871939541380014e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.98,2.0,1.1,1.0,0.0003305858302933795,0.005139661122680509,0.3305858302933795,5.13966112268051,4.50083763661735e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.97,2.0,1.1,1.0,0.000358486608711163,0.005171617406488379,0.358486608711163,5.171617406488379,1.8096705774531263e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.96,2.0,1.1,1.0,0.0003851072949261168,0.005202090217052167,0.38510729492611684,5.2020902170521675,3.3762738698567274e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.95,2.0,1.1,1.0,0.0004436772969647056,0.005269077325030659,0.4436772969647056,5.2690773250306595,1.505566504800271e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.94,2.0,1.1,1.0,0.000509786204876467,0.005344593368133953,0.509786204876467,5.344593368133953,2.29547283958631e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.93,2.0,1.1,1.0,0.0005776538218641997,0.005422019101567994,0.5776538218641997,5.422019101567994,2.5048539631367106e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.92,2.0,1.1,1.0,0.0006473873460128727,0.005501472733635849,0.6473873460128727,5.5014727336358495,2.801318205181147e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.91,2.0,1.1,1.0,0.0007191128073292205,0.005583093479183877,0.7191128073292204,5.583093479183877,3.205422038909944e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.9,2.0,1.1,1.0,0.000885065603042414,0.005771564675155296,0.885065603042414,5.771564675155296,2.3522850334245504e-15,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.89,2.0,1.1,1.0,0.00111884199760017,0.006036242538963975,1.11884199760017,6.0362425389639744,2.970193535567489e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.89,2.0,1.1,1.0,0.00451171044450264,0.009877281643845189,4.51171044450264,9.877281643845189,7.245955571666407e-12,unstable,low_root,0.06914960998892546,0.0,0.0,0.0,1.0,False,9
0.89,2.0,1.1,1.0,0.006535353191579189,0.01215649509018149,6.535353191579189,12.15649509018149,2.867140552753611e-12,unstable,finite_high_root,0.06085828712040903,0.0,0.0,0.010368302778019443,1.020736605556039,False,9
0.88,2.0,1.1,1.0,0.0014332769641995505,0.0063909039177260105,1.4332769641995506,6.3909039177260105,4.3452069199700905e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.88,2.0,1.1,1.0,0.003016755481674079,0.008186141061157807,3.016755481674079,8.186141061157807,2.3859386688585005e-14,unstable,low_root,0.018377249190907833,0.0,0.0,0.0,1.0,False,9
0.88,2.0,1.1,1.0,0.007107641722535039,0.012799349862498088,7.107641722535039,12.799349862498088,7.025630077706069e-17,unstable,finite_high_root,0.03715507077762311,0.002335813685664012,0.3717562942151262,0.01936066917207755,1.0387213383441551,False,9
0.87,2.0,1.1,1.0,0.007526309236920705,0.013269838894938754,7.526309236920706,13.269838894938754,1.334869714764153e-14,unstable,finite_high_root,0.03620535369875019,0.017765839088404425,2.827521109094776,0.027583095425871746,1.0551661908517436,False,9
0.86,2.0,1.1,1.0,0.007881193367680592,0.013667930045498699,7.881193367680592,13.667930045498698,3.6795913538334446e-13,unstable,finite_high_root,0.03495762625395274,0.023791613322436077,3.786552864396693,0.035581782457334045,1.071163564914668,False,9
0.85,2.0,1.1,1.0,0.008212333272173236,0.014038832923905106,8.212333272173236,14.038832923905106,4.7890511001291713e-14,unstable,finite_high_root,0.05700969609819353,0.0,0.0,0.04385145832626523,1.0877029166525305,False,9
