id,topology,noise,mode,scope,earlier_test,later_test,p_i_before_j,n,mean,median,variance,q05,q95
t2511_n847402,2511.0,847402.0,TA,pairwise_coparticipating,SCL8,SCL6,0.5333333333333333,45,1.4864005498205137,7.143042722091195,85.12476833337703,-11.996402837913774,10.686364772003435
t2511_n847402,2511.0,847402.0,TA,complete4,SCL8,SCL6,0.5185185185185185,27,1.3671485444550415,7.143042722091195,85.415995539973,-11.148494662111625,10.361677382097696
t2511_n847402,2511.0,847402.0,TA,pairwise_coparticipating,SCL7,SCL6,0.6976744186046512,43,0.20436897549943964,7.012598748719029,116.81487833971093,-18.42718162349338,8.11857481847146
t2511_n847402,2511.0,847402.0,TA,complete4,SCL7,SCL6,0.5185185185185185,27,-4.170553424315703,3.8411496969638392,135.21440790874692,-19.210070584660933,7.3026458987144
t2511_n847402,2511.0,847402.0,TB,pairwise_coparticipating,SCL9,SCL8,0.29411764705882354,51,-3.2230896981703188,-8.13981284158217,63.26335244844748,-8.466409908440255,10.982827545412874
t2511_n847402,2511.0,847402.0,TB,complete4,SCL9,SCL8,0.21739130434782608,46,-4.463425093948672,-8.1650059468966,53.27939404524429,-8.47835249228774,10.767622403555833
t2511_n847402,2511.0,847402.0,TB,pairwise_coparticipating,SCL9,SCL7,0.1875,48,-9.399498099747158,-13.26849400357969,123.08778108658906,-13.77213099296814,15.480387643960693
t2511_n847402,2511.0,847402.0,TB,complete4,SCL9,SCL7,0.1956521739130435,46,-8.39464579104693,-13.255703113242816,101.84648459728007,-13.709203023330701,15.54277328762555
t2511_n847402,2511.0,847402.0,TB,pairwise_coparticipating,SCL9,SCL6,0.23333333333333334,60,-14.350888839342678,-21.856993595065433,137.02466129796298,-22.35219483972469,4.158935871557011
t2511_n847402,2511.0,847402.0,TB,complete4,SCL9,SCL6,0.10869565217391304,46,-17.04277701564538,-21.899349008121135,89.91732439607331,-22.08396314042966,2.409366573919442
t2511_n847402,2511.0,847402.0,TB,pairwise_coparticipating,SCL8,SCL7,0.14583333333333334,48,-3.8063176477735303,-5.132641204296306,19.36407836509587,-8.541982577189629,7.4712945384511835
t2511_n847402,2511.0,847402.0,TB,complete4,SCL8,SCL7,0.13043478260869565,46,-3.9312206970982575,-5.1412463749784365,19.668028568273662,-9.027394417171308,7.52426101200399
