subject,seed_left,seed_right,lag,contact_kernel_cosine,stop_kernel_cosine
epilepsiae_1084,20260726,20260727,1,0.4943861732987857,0.8202273599664355
epilepsiae_1084,20260726,20260727,2,0.475720901614195,0.8363084694948735
epilepsiae_1084,20260726,20260727,3,0.4567911919318474,0.8503071041352289
epilepsiae_1084,20260726,20260727,4,0.43777425725368735,0.8624275187819033
epilepsiae_1084,20260726,20260727,5,0.4188720576870435,0.8728679788282736
epilepsiae_1096,20260725,20260726,0,0.7624281127028134,0.9286054196652395
epilepsiae_1096,20260725,20260726,1,0.7467149013168773,0.9343538870492833
epilepsiae_1096,20260725,20260726,2,0.7299826075677665,0.9380359017203509
epilepsiae_1096,20260725,20260726,3,0.7122519055896942,0.9401030542641055
epilepsiae_1096,20260725,20260726,4,0.6935688258666052,0.9408971156085698
epilepsiae_1096,20260725,20260726,5,0.6740085978835864,0.9406776158498983
epilepsiae_1096,20260725,20260727,0,0.6810532099251003,0.8095984901623252
epilepsiae_1096,20260725,20260727,1,0.6748447833138794,0.83515529411403
epilepsiae_1096,20260725,20260727,2,0.6685502125196374,0.8556778956114067
epilepsiae_1096,20260725,20260727,3,0.6621952343589571,0.8719582939715891
epilepsiae_1096,20260725,20260727,4,0.6558093841705676,0.8846544065279033
epilepsiae_1096,20260725,20260727,5,0.6494257773942343,0.8943126680714153
epilepsiae_1096,20260726,20260727,0,0.6288622150568282,0.9255371710641642
epilepsiae_1096,20260726,20260727,1,0.6123640336328543,0.9337685474120891
epilepsiae_1096,20260726,20260727,2,0.5950308565026489,0.9411392977379615
epilepsiae_1096,20260726,20260727,3,0.5769087337067562,0.9477134720749968
epilepsiae_1096,20260726,20260727,4,0.5580662723361345,0.9535549360343494
epilepsiae_1096,20260726,20260727,5,0.5385975571426131,0.9587261396129614
epilepsiae_1125,20260725,20260726,0,0.8200215293680985,0.3785762996604254
epilepsiae_1125,20260725,20260726,1,0.8056896998511253,0.43698631669044724
epilepsiae_1125,20260725,20260726,2,0.7900183682334933,0.48995420781742977
epilepsiae_1125,20260725,20260726,3,0.7729683451653794,0.5373504483842408
epilepsiae_1125,20260725,20260726,4,0.7545334975100062,0.5792918428359195
epilepsiae_1125,20260725,20260726,5,0.7347519729330211,0.6160710675416815
epilepsiae_1125,20260725,20260727,0,0.6710161318329427,-0.06298338137416773
epilepsiae_1125,20260725,20260727,1,0.6631753431645444,0.01681107805470196
epilepsiae_1125,20260725,20260727,2,0.6550883130619355,0.09332625432381703
epilepsiae_1125,20260725,20260727,3,0.6468053090573497,0.16520364321571487
epilepsiae_1125,20260725,20260727,4,0.6383917981386714,0.23153514119762156
epilepsiae_1125,20260725,20260727,5,0.6299287570826048,0.29181897953861646
epilepsiae_1125,20260726,20260727,0,0.60566333520767,0.7190595593633764
epilepsiae_1125,20260726,20260727,1,0.584534362565112,0.7444731044986654
epilepsiae_1125,20260726,20260727,2,0.5617930620501075,0.767829491780269
epilepsiae_1125,20260726,20260727,3,0.5374587450519517,0.7891174035709554
epilepsiae_1125,20260726,20260727,4,0.5116003241502879,0.8083678931396349
epilepsiae_1125,20260726,20260727,5,0.48434765682481323,0.825646948764686
epilepsiae_1146,20260725,20260726,0,0.8659708679311885,0.4845369638442558
epilepsiae_1146,20260725,20260726,1,0.8536246047965408,0.551314042706203
epilepsiae_1146,20260725,20260726,2,0.8395887509134335,0.6092631288736088
epilepsiae_1146,20260725,20260726,3,0.8236718127677495,0.6591500047049751
epilepsiae_1146,20260725,20260726,4,0.8056910579438259,0.7018524521266519
epilepsiae_1146,20260725,20260726,5,0.7854898457061562,0.7382642532017467
epilepsiae_1146,20260725,20260727,0,0.8595479122385521,-0.12782809685338747
epilepsiae_1146,20260725,20260727,1,0.8473835344589897,-0.02732394776934343
epilepsiae_1146,20260725,20260727,2,0.8334418087572177,0.06719411644910674
epilepsiae_1146,20260725,20260727,3,0.8175041524033063,0.15475764469158737
epilepsiae_1146,20260725,20260727,4,0.7993602123577358,0.23492429324621789
epilepsiae_1146,20260725,20260727,5,0.7788286828935885,0.30764024083182284
epilepsiae_1146,20260726,20260727,0,0.8348313573495629,0.7631953429598992
epilepsiae_1146,20260726,20260727,1,0.8229157417668673,0.7806080660725623
epilepsiae_1146,20260726,20260727,2,0.8088638976322131,0.7971158706027803
epilepsiae_1146,20260726,20260727,3,0.7922456261072015,0.8126316292450877
epilepsiae_1146,20260726,20260727,4,0.7725474492292037,0.8271064170823306
epilepsiae_1146,20260726,20260727,5,0.7491663921515943,0.8405231400074766
epilepsiae_1150,20260725,20260726,0,0.6225676922627384,0.6465513716809025
epilepsiae_1150,20260725,20260726,1,0.6105173502114631,0.643512696632266
epilepsiae_1150,20260725,20260726,2,0.5990099585102626,0.6400320962705514
