comparison,component,dataset,n,median_nats,median_bits,positive,sign_p_two_sided,wilcoxon_p_two_sided,ci95_low,ci95_high
lag1_contribution,event_terminal_stop_nll,epilepsiae,18,-0.01177564263343811,-0.016988661230541817,6,0.237884521484375,0.24620819091796875,-0.028166204690933228,0.0020368993282318115
lag1_contribution,event_terminal_stop_nll,yuquan,16,-0.1173143982887268,-0.16924890063601886,0,3.0517578125e-05,3.0517578125e-05,-0.15280628204345703,-0.07299995422363281
lag1_contribution,event_total_nll,all,34,0.007277727127075195,0.010499540835174468,26,0.0029350556433200836,0.007276198244653642,0.0017917156219486863,0.013388395309448242
lag1_contribution,event_total_nll,epilepsiae,18,0.008547604084015115,0.012331586023490857,14,0.0308837890625,0.04827880859375,0.0004394054412841797,0.014015197753906361
lag1_contribution,event_total_nll,yuquan,16,0.0051805973052978516,0.007474022041195938,12,0.076812744140625,0.065399169921875,-0.0005243420600888893,0.014147996902464932
lag2_contribution,event_contact_choice_nll,all,34,0.0015825629234312855,0.002283155681529056,21,0.22948101302608848,0.3011333749163896,-0.0008075237274172142,0.003859281539916992
lag2_contribution,event_contact_choice_nll,epilepsiae,18,9.852647781383173e-05,0.00014214366093827152,9,1.0,1.0,-0.0021479129791259766,0.0040357112884521484
lag2_contribution,event_contact_choice_nll,yuquan,16,0.002376556396484264,0.003428646127600793,12,0.076812744140625,0.14385986328125,0.00019073486328147204,0.004238128662109375
lag2_contribution,event_contact_contribution_nll,all,34,0.0014056563377382592,0.0020279334276491283,21,0.22948101302608848,0.34285025869030505,-0.0007350444793701172,0.0032091736793516956
lag2_contribution,event_contact_contribution_nll,epilepsiae,18,7.110834121704102e-05,0.00010258765123966536,9,1.0,1.0,-0.0018683671951293945,0.003537416458129883
lag2_contribution,event_contact_contribution_nll,yuquan,16,0.002082169055939276,0.003003934971296048,12,0.076812744140625,0.19281005859375,5.602836608886719e-05,0.003974199295043945
lag2_contribution,event_continue_nll,all,34,0.002783482894301449,0.004015716968007959,29,3.8558151572942734e-05,6.466754712164402e-06,0.0019739940762519975,0.003535650670528398
lag2_contribution,event_continue_nll,epilepsiae,18,0.001697201281785958,0.002448543872622994,13,0.09625244140625,0.0431671142578125,0.00015505403280259566,0.003289431333541898
lag2_contribution,event_continue_nll,yuquan,16,0.003646725788712543,0.00526111321085748,16,3.0517578125e-05,3.0517578125e-05,0.0027370154857635984,0.004865184426307706
lag2_contribution,event_stop_contribution_nll,all,34,-0.00019863992929460006,-0.00028657684091585385,16,0.8641662404406816,0.5429379880661145,-0.000774960964918095,0.000499226152896895
