subject,seed,condition,decision_contract_sha256,n_decisions
epilepsiae_635,20260725,lag3plus_removed,f328f8958e8c51c679db2a75e2493e4d653c6f04b83292b5447f6d0f4ccff46b,6827
epilepsiae_635,20260725,linear_state,f328f8958e8c51c679db2a75e2493e4d653c6f04b83292b5447f6d0f4ccff46b,6827
epilepsiae_635,20260725,linear_state_rank_shuffle,f328f8958e8c51c679db2a75e2493e4d653c6f04b83292b5447f6d0f4ccff46b,6827
epilepsiae_635,20260725,unordered_prefix,f328f8958e8c51c679db2a75e2493e4d653c6f04b83292b5447f6d0f4ccff46b,6827
epilepsiae_922,20260725,full_history,9b4c4203b3fea0f489e14421e3a28b028f2b9bf45fa4f7dafe9cb5916050b883,106264
epilepsiae_922,20260725,history_1,9b4c4203b3fea0f489e14421e3a28b028f2b9bf45fa4f7dafe9cb5916050b883,106264
epilepsiae_922,20260725,history_2,9b4c4203b3fea0f489e14421e3a28b028f2b9bf45fa4f7dafe9cb5916050b883,106264
epilepsiae_922,20260725,history_3,9b4c4203b3fea0f489e14421e3a28b028f2b9bf45fa4f7dafe9cb5916050b883,106264
epilepsiae_922,20260725,history_3_rank_shuffle,9b4c4203b3fea0f489e14421e3a28b028f2b9bf45fa4f7dafe9cb5916050b883,106264
epilepsiae_922,20260725,lag0_removed,9b4c4203b3fea0f489e14421e3a28b028f2b9bf45fa4f7dafe9cb5916050b883,106264
epilepsiae_922,20260725,lag1_removed,9b4c4203b3fea0f489e14421e3a28b028f2b9bf45fa4f7dafe9cb5916050b883,106264
epilepsiae_922,20260725,lag2_removed,9b4c4203b3fea0f489e14421e3a28b028f2b9bf45fa4f7dafe9cb5916050b883,106264
epilepsiae_922,20260725,lag3plus_removed,9b4c4203b3fea0f489e14421e3a28b028f2b9bf45fa4f7dafe9cb5916050b883,106264
epilepsiae_922,20260725,linear_state,9b4c4203b3fea0f489e14421e3a28b028f2b9bf45fa4f7dafe9cb5916050b883,106264
epilepsiae_922,20260725,linear_state_rank_shuffle,9b4c4203b3fea0f489e14421e3a28b028f2b9bf45fa4f7dafe9cb5916050b883,106264
epilepsiae_922,20260725,unordered_prefix,9b4c4203b3fea0f489e14421e3a28b028f2b9bf45fa4f7dafe9cb5916050b883,106264
epilepsiae_958,20260725,full_history,249f722c38f393e3b3d972a82b9e9897a48ed0100b4d7fdc04056aabfc00d260,300363
epilepsiae_958,20260725,history_1,249f722c38f393e3b3d972a82b9e9897a48ed0100b4d7fdc04056aabfc00d260,300363
epilepsiae_958,20260725,history_2,249f722c38f393e3b3d972a82b9e9897a48ed0100b4d7fdc04056aabfc00d260,300363
epilepsiae_958,20260725,history_3,249f722c38f393e3b3d972a82b9e9897a48ed0100b4d7fdc04056aabfc00d260,300363
epilepsiae_958,20260725,history_3_rank_shuffle,249f722c38f393e3b3d972a82b9e9897a48ed0100b4d7fdc04056aabfc00d260,300363
epilepsiae_958,20260725,lag0_removed,249f722c38f393e3b3d972a82b9e9897a48ed0100b4d7fdc04056aabfc00d260,300363
epilepsiae_958,20260725,lag1_removed,249f722c38f393e3b3d972a82b9e9897a48ed0100b4d7fdc04056aabfc00d260,300363
epilepsiae_958,20260725,lag2_removed,249f722c38f393e3b3d972a82b9e9897a48ed0100b4d7fdc04056aabfc00d260,300363
epilepsiae_958,20260725,lag3plus_removed,249f722c38f393e3b3d972a82b9e9897a48ed0100b4d7fdc04056aabfc00d260,300363
epilepsiae_958,20260725,linear_state,249f722c38f393e3b3d972a82b9e9897a48ed0100b4d7fdc04056aabfc00d260,300363
epilepsiae_958,20260725,linear_state_rank_shuffle,249f722c38f393e3b3d972a82b9e9897a48ed0100b4d7fdc04056aabfc00d260,300363
epilepsiae_958,20260725,unordered_prefix,249f722c38f393e3b3d972a82b9e9897a48ed0100b4d7fdc04056aabfc00d260,300363
yuquan_chengshuai,20260725,full_history,de908e2817d644c16e1e642461a59a999e55ac18fd86c0c0d78572057eb9d26d,32311
yuquan_chengshuai,20260725,history_1,de908e2817d644c16e1e642461a59a999e55ac18fd86c0c0d78572057eb9d26d,32311
yuquan_chengshuai,20260725,history_2,de908e2817d644c16e1e642461a59a999e55ac18fd86c0c0d78572057eb9d26d,32311
yuquan_chengshuai,20260725,history_3,de908e2817d644c16e1e642461a59a999e55ac18fd86c0c0d78572057eb9d26d,32311
yuquan_chengshuai,20260725,history_3_rank_shuffle,de908e2817d644c16e1e642461a59a999e55ac18fd86c0c0d78572057eb9d26d,32311
yuquan_chengshuai,20260725,lag0_removed,de908e2817d644c16e1e642461a59a999e55ac18fd86c0c0d78572057eb9d26d,32311
