condition_index,candidate_id,name,placement,unit,N,observation_loss,R_unsupported,total_loss,node_gain,E_to_E_weight_scale,E_to_I_weight_scale,I_to_E_weight_scale,tau_d_GABA_ms,participation,centroid_structure,local_shape,recruitment,joint_envelope
22,integrated_anchor1_B_plus,Place 1: integrated B +,1,topo_6101_dyn_7101,40,0.47805823678438475,0.8910610588049597,0.7332851920625558,0.7909999839866331,1.134267205390351,1.0836479712371967,1.19085451375201,17.29058419691742,0.14463839030136996,0.1782349634129282,1.4336134337601096,0.272869498856226,0.3609348975912901
22,integrated_anchor1_B_plus,Place 1: integrated B +,1,topo_6102_dyn_7101,32,0.4548264931100524,0.9789563759830853,0.73522933725118,0.7909999839866331,1.134267205390351,1.0836479712371967,1.19085451375201,17.29058419691742,0.10794589864315517,0.13550021255860112,1.425597945261616,0.2168357053131581,0.3882527037737317
23,integrated_anchor1_B_minus,Place 1: integrated B -,1,topo_6101_dyn_7101,45,0.4047531333751576,0.879286155194771,0.6566073985694943,0.8542218247703481,1.1811839567091005,1.17723841173029,1.097251453777358,19.210300366424132,0.052416309298487035,0.3093564308384407,1.2432808224930474,0.1505964071605081,0.2681156970853047
23,integrated_anchor1_B_minus,Place 1: integrated B -,1,topo_6102_dyn_7101,46,0.3976186790875437,0.8186131272708504,0.6320943460011994,0.8542218247703481,1.1811839567091005,1.17723841173029,1.097251453777358,19.210300366424132,0.06409447568896366,0.16120972242061446,1.3512437088886353,0.16853772266631611,0.24300776577318933
24,integrated_anchor2_B_plus,Place 2: integrated B +,2,topo_6101_dyn_7101,37,0.421167131346457,0.7275053777050123,0.6295467711762663,1.0523555481661808,1.1026878226178827,1.032025320836764,0.9724584475449545,21.234018889280552,0.07299439088234631,0.23589750221442013,1.2865950218833944,0.1972431718165379,0.313105569935586
24,integrated_anchor2_B_plus,Place 2: integrated B +,2,topo_6102_dyn_7101,33,0.43457044990986793,0.8514051590621375,0.6784387508622053,1.0523555481661808,1.1026878226178827,1.032025320836764,0.9724584475449545,21.234018889280552,0.08764139723565431,0.17532163801018535,1.2791432129581386,0.20788466588300006,0.4228613354623615
25,integrated_anchor2_B_minus,Place 2: integrated B -,2,topo_6101_dyn_7101,27,0.5175147381759877,0.8770547532495953,0.7687298620692414,1.1136150882530202,1.0102384377577525,1.1179631961708363,0.9291731934067124,20.67564432777426,0.1839633329489333,0.13295512725861786,1.3574231817552456,0.34638188128364733,0.5668501676334943
25,integrated_anchor2_B_minus,Place 2: integrated B -,2,topo_6102_dyn_7101,31,0.6485368083242629,0.8369862719018165,0.8882751019869047,1.1136150882530202,1.0102384377577525,1.1179631961708363,0.9291731934067124,20.67564432777426,0.2593933481976958,0.1651508800465868,1.3813317236599858,0.45323500591917737,0.9835730837978688
26,integrated_anchor3_B_plus,Place 3: integrated B +,3,topo_6101_dyn_7101,41,0.4313189568680199,0.979808548414306,0.7119658890801538,0.7012111827132951,0.993688889868006,1.0292849834262061,0.9126644595611223,19.037158112745725,0.07610790673855887,0.2516179651642467,1.265555717351594,0.2209682269382959,0.34234496814740445
26,integrated_anchor3_B_plus,Place 3: integrated B +,3,topo_6102_dyn_7101,43,0.40655184019662016,0.860132243633507,0.6529198432755356,0.7012111827132951,0.993688889868006,1.0292849834262061,0.9126644595611223,19.037158112745725,0.044477857611129636,0.1891423153870267,1.2135636397424825,0.18278876910263225,0.4027866191398297
27,integrated_anchor3_B_minus,Place 3: integrated B -,3,topo_6101_dyn_7101,0,,,,0.6013672551478505,1.1196122001429487,0.8890285676021732,0.9881805486644261,23.834387098021796,,,,,
27,integrated_anchor3_B_minus,Place 3: integrated B -,3,topo_6102_dyn_7101,0,,,,0.6013672551478505,1.1196122001429487,0.8890285676021732,0.9881805486644261,23.834387098021796,,,,,
