candidate,reference,axis,shape,EE_out,EI,noise,mode,n,reference_n,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
up3__circle__EI_same_core_scale_0.75,up3__circle,EI,circle,1.0,0.75,847102,TA,47.0,22,-0.7019104084321476,0.08282429033417171,0.0,-0.0049883234331458415,-0.1284568113091519,-111.99271825702453,0.0,-67.0,-8.766815078895888,0.2236652468962736,0.0,-20.5,16.5,-0.6572659002363048,0.03406155057953619
up3__circle__EI_same_core_scale_0.75,up3__circle,EI,circle,1.0,0.75,847102,TB,-10.0,105,-0.2466165413533834,0.03376623376623378,0.0,0.016036052786520955,0.012688240953703744,-1.8003957564178563,0.0,-16.0,5.799693424538418,0.20385889399856527,1.0,88.0,22.0,0.7130680521770598,-0.060130403284230916
follow_ellipse4_out1.25_EI0.75,up3__ellipse4__EI_same_core_scale_0.75,EE_out,ellipse4,1.25,0.75,847102,ALL,3.0,157,0.047770700636942665,0.004053271569195216,0.0,0.009341825902335454,-0.024574119265262817,-0.9852287060311937,2.0,-2.0,1.4396368416000769,-0.020950139401611223,-1.0,13.0,5.0,0.10545420311250986,0.06763392857142858
follow_ellipse4_out1.25_EI0.75,up3__ellipse4__EE_core_to_out_scale_1.25,EI,ellipse4,1.25,0.75,847102,ALL,11.0,149,0.09395973154362414,0.0024405125076264467,0.0,0.016107382550335586,0.0010014223226935126,-1.3805109993081714,2.0,-8.0,5.052500299681924,0.14983006659236003,-1.0,20.0,7.0,0.30868985495120427,0.05958171206225682
follow_ellipse4_out1.25_EI0.75,follow_circle_out1.25_EI0.75,shape,ellipse4,1.25,0.75,847102,ALL,-9.0,169,0.0,0.0037654653039268515,0.0,0.0027613412228796874,0.23373462476989434,42.6840379226669,2.0,20.0,-63.12828625421935,-0.007184737441926992,-1.0,5.0,-2.0,0.17618091734724928,0.030642579464898234
follow_ellipse4_out1.25_EI0.75,up3__ellipse4__EI_same_core_scale_0.75,EE_out,ellipse4,1.25,0.75,847102,TA,-1.0,31,0.19354838709677424,0.014662756598240345,0.0,0.015326562365999774,-0.01685875326286415,2.6376299472708524,0.0,0.0,-2.290260324451083,-0.010469667108264524,-1.0,15.5,-1.0,0.07132413647836788,0.07253190060443249
follow_ellipse4_out1.25_EI0.75,up3__ellipse4__EE_core_to_out_scale_1.25,EI,ellipse4,1.25,0.75,847102,TA,-3.0,33,0.28787878787878785,0.0027548209366391463,0.0,0.007070630344462481,0.0027825695377419746,2.9410869626285603,0.0,0.0,-1.8151285988060408,0.047295192465307084,-1.0,14.5,3.0,0.1005295800630952,0.036964557512502716
follow_ellipse4_out1.25_EI0.75,follow_circle_out1.25_EI0.75,shape,ellipse4,1.25,0.75,847102,TA,-44.0,74,0.0,0.0073710073710073765,0.0,0.005405405405405378,-0.006091074472903912,1.195483316944319,0.0,0.0,-1.145201594007176,-0.04378876117614902,-1.0,6.5,2.0,0.05834747614697022,0.04154686657763429
follow_ellipse4_out1.25_EI0.75,up3__ellipse4__EI_same_core_scale_0.75,EE_out,ellipse4,1.25,0.75,847102,TB,4.0,126,0.011904761904761862,0.0014430014430014682,0.0,0.002645502645502673,-0.016944170503803924,-0.9254605124378941,2.0,-2.0,1.5226900093857694,-0.02211856681329938,-1.0,13.0,6.0,0.09809501997203185,0.06603288210792813
follow_ellipse4_out1.25_EI0.75,up3__ellipse4__EE_core_to_out_scale_1.25,EI,ellipse4,1.25,0.75,847102,TB,14.0,116,0.0387931034482758,0.0023510971786834256,0.0,0.007471264367816088,-0.019368159631965698,-1.4039015932976326,2.0,-10.0,6.32565589971091,0.16521950726514684,-1.0,20.0,7.5,0.33895358257671404,0.062439830108541816
