horizon_seconds,arm,endpoint,n_subjects,n_positive,median_gain,p_sign,n_dropped_not_estimable,n_dropped_missing,seed_spread_median
1800.0,B+S(P_slow_seed2),continuous:band_energy,24,8,-0.0029272197134267985,0.15158963203430176,3,0,
1800.0,B+S(P_slow_seed2),continuous:band_peak,26,11,-0.0005480554925417769,0.557197093963623,1,0,
1800.0,B+S(P_slow_seed2),continuous:embedding,26,6,-0.0019321502774514165,0.009355306625366211,1,0,
1800.0,B+S(P_slow_seed3),count,26,16,8.602913509481169e-05,0.32693958282470703,1,0,
1800.0,B+S(P_slow_seed3),participation,26,11,-0.00018197286972609916,0.557197093963623,1,0,
1800.0,B+S(P_slow_seed3),continuous,26,10,-0.0009311604750731339,0.32693958282470703,1,0,
1800.0,B+S(P_slow_seed3),continuous:size,26,12,-0.0002649059008098531,0.8450189828872681,1,0,
1800.0,B+S(P_slow_seed3),continuous:span,26,10,-0.00019151789613303105,0.32693958282470703,1,0,
1800.0,B+S(P_slow_seed3),continuous:band_energy,24,8,-0.001419082313578457,0.15158963203430176,3,0,
1800.0,B+S(P_slow_seed3),continuous:band_peak,26,12,-5.667298821054878e-05,0.8450189828872681,1,0,
1800.0,B+S(P_slow_seed3),continuous:embedding,26,7,-0.0013976901333855318,0.028959274291992188,1,0,
1800.0,B+shift10(S(P_slow_seed1)),count,27,14,2.391962317105367e-07,1.0,0,0,
1800.0,B+shift10(S(P_slow_seed1)),participation,27,9,-0.0005103388694912558,0.12207812070846558,0,0,
1800.0,B+shift10(S(P_slow_seed1)),continuous,27,8,-0.00033388424452107657,0.052238985896110535,0,0,
