relpath,size_bytes,mtime,md5
inv/pat_108402/adm_1084102/rec_108401102/108401102_0042.head,668,1618051230.0,f162b388ebdebff8e392994bb4becf5a
inv/pat_108402/adm_1084102/rec_108401102/108401102_0042_gpu.npz,120813,1618839926.74,561d2c3c462779dd5335d4278b99b9be
inv/pat_108402/adm_1084102/rec_108401102/108401102_0043.head,668,1618051426.0,3c81a90cdb1296dd7ea2d66c87e76f44
inv/pat_108402/adm_1084102/rec_108401102/108401102_0043_gpu.npz,295757,1618840031.77,7fc910e7c511cb3ba395c2ba17602f31
inv/pat_108402/adm_1084102/rec_108401102/108401102_0044.head,668,1618051628.0,dbdec4e4aeaf0b0046bf4296f692bd1e
inv/pat_108402/adm_1084102/rec_108401102/108401102_0044_gpu.npz,187701,1618840134.92,b13a458e4d67693ba2c26f7e1add9c1b
inv/pat_108402/adm_1084102/rec_108401102/108401102_0045.head,668,1618051824.0,2c12a7529daff6b81ac27013fb151e79
inv/pat_108402/adm_1084102/rec_108401102/108401102_0045_gpu.npz,164405,1618840238.29,d2523c4ab010b3007fc4de528da04f48
inv/pat_108402/adm_1084102/rec_108401102/108401102_0046.head,668,1618052020.0,087d05403fc482dff210dbb612e443db
inv/pat_108402/adm_1084102/rec_108401102/108401102_0046_gpu.npz,107490,1618840340.54,dab6b9a5529860d4fe7cbcddaa7738d0
inv/pat_108402/adm_1084102/rec_108401102/108401102_0047.head,668,1618052216.0,19a39596c5b7e7fbb9ab797be8cce137
inv/pat_108402/adm_1084102/rec_108401102/108401102_0047_gpu.npz,149013,1618840447.7,4122b8132a58f5f2f971e1db86398917
inv/pat_108402/adm_1084102/rec_108401102/108401102_0048.head,668,1618052432.0,fb5844735e1c53d32d5f93fe77f62901
inv/pat_108402/adm_1084102/rec_108401102/108401102_0048_gpu.npz,105307,1618840556.57,3d023b398d0bea3cf5e4c39ff0113539
inv/pat_108402/adm_1084102/rec_108401102/108401102_0049.head,668,1618052652.0,1b20ceeb42a2048372500b7443ee2728
inv/pat_108402/adm_1084102/rec_108401102/108401102_0049_gpu.npz,202729,1618840665.59,a3ee9403b6ed7231d1b48579ae056eb9
inv/pat_108402/adm_1084102/rec_108401102/108401102_0050.head,668,1618052878.0,1ab61c3aec35f17bc4524d1f329c59fc
inv/pat_108402/adm_1084102/rec_108401102/108401102_0050_gpu.npz,67841,1618840774.75,4ed8ba40b299b58ac3fa05305a281674
inv/pat_108402/adm_1084102/rec_108401102/108401102_0051.head,668,1618053358.0,6bf9fba9096e3d20b9988d9161af5ca4
inv/pat_108402/adm_1084102/rec_108401102/108401102_0051_gpu.npz,39517,1618840914.65,c10ba2fec32acae41f0591411045ba09
inv/pat_108402/adm_1084102/rec_108401102/108401102_0052.head,668,1618054144.0,4f9feca46f0d19e9194969bb535c8fc7
inv/pat_108402/adm_1084102/rec_108401102/108401102_0052_gpu.npz,88849,1618841061.29,0375b21a0f727feebe6b34ecc01ad98a
inv/pat_108402/adm_1084102/rec_108401102/108401102_0053.head,668,1618054640.0,49d3f2604c96eae50d3be7a75b5b33bd
inv/pat_108402/adm_1084102/rec_108401102/108401102_0053_gpu.npz,64695,1618841163.15,0dc32323edb162ee4d31e68155cf1341
inv/pat_108402/adm_1084102/rec_108401102/108401102_0054.head,668,1618055216.0,a591608dd676ce6fdf3a28502c8633cf
inv/pat_108402/adm_1084102/rec_108401102/108401102_0054_gpu.npz,49927,1618841241.42,433097ac5422526b21e04f78925a7375
inv/pat_108402/adm_1084102/rec_108401102/108401102_0055.head,668,1618056710.0,dc57cd0031955d8f4cffe23384677607
inv/pat_108402/adm_1084102/rec_108401102/108401102_0055_gpu.npz,78862,1618841322.39,5627ba71e3f6f014766fa02ddfed7c9b
inv/pat_108402/adm_1084102/rec_108401102/108401102_0056.head,668,1618057518.0,61ee02a733a16a1e7b2888e1d163e1fd
inv/pat_108402/adm_1084102/rec_108401102/108401102_0056_gpu.npz,80581,1618841405.36,f395dfe4b04a9b7827ca94ff355e240a
inv/pat_108402/adm_1084102/rec_108401102/108401102_0057.head,668,1618059482.0,3bc6a17f94800463b4e11c669856cfb4
