subject,model,intervention,metric,nll_cost_vs_ordered
epilepsiae_1125,full_history_gru,reverse_prefix,heldout_event_balanced_nll,0.04495692253112793
epilepsiae_1125,full_history_gru,reverse_prefix,step0_prefix_balanced_nll,0.0
epilepsiae_1125,full_history_gru,reverse_prefix,step1_prefix_balanced_nll,0.0
epilepsiae_1125,full_history_gru,reverse_prefix,step2_prefix_balanced_nll,0.018945086640231423
epilepsiae_1125,full_history_gru,reverse_prefix,step3_prefix_balanced_nll,0.047582813763966225
epilepsiae_1125,full_history_gru,reverse_prefix,step4plus_prefix_balanced_nll,0.10681996801420857
epilepsiae_1125,selected_ordered,drop_earliest,heldout_event_balanced_nll,0.022858142852783203
epilepsiae_1125,selected_ordered,drop_earliest,step0_prefix_balanced_nll,0.0
epilepsiae_1125,selected_ordered,drop_earliest,step1_prefix_balanced_nll,0.1392898564872187
epilepsiae_1125,selected_ordered,drop_earliest,step2_prefix_balanced_nll,0.019252879425748715
epilepsiae_1125,selected_ordered,drop_earliest,step3_prefix_balanced_nll,-0.0249105149959008
epilepsiae_1125,selected_ordered,drop_earliest,step4plus_prefix_balanced_nll,-0.005155298856743373
epilepsiae_1125,selected_ordered,reset_after_rank_0,heldout_event_balanced_nll,0.022858142852783203
epilepsiae_1125,selected_ordered,reset_after_rank_0,step0_prefix_balanced_nll,0.0
epilepsiae_1125,selected_ordered,reset_after_rank_0,step1_prefix_balanced_nll,0.1392898564872187
epilepsiae_1125,selected_ordered,reset_after_rank_0,step2_prefix_balanced_nll,0.019252879425748715
epilepsiae_1125,selected_ordered,reset_after_rank_0,step3_prefix_balanced_nll,-0.0249105149959008
epilepsiae_1125,selected_ordered,reset_after_rank_0,step4plus_prefix_balanced_nll,-0.005155298856743373
epilepsiae_1125,selected_ordered,reset_after_rank_1,heldout_event_balanced_nll,0.04155075550079346
epilepsiae_1125,selected_ordered,reset_after_rank_1,step0_prefix_balanced_nll,0.0
epilepsiae_1125,selected_ordered,reset_after_rank_1,step1_prefix_balanced_nll,0.0
epilepsiae_1125,selected_ordered,reset_after_rank_1,step2_prefix_balanced_nll,0.15730768433041353
epilepsiae_1125,selected_ordered,reset_after_rank_1,step3_prefix_balanced_nll,-0.0143229682715591
epilepsiae_1125,selected_ordered,reset_after_rank_1,step4plus_prefix_balanced_nll,0.0064621767909707195
epilepsiae_1125,selected_ordered,reset_after_rank_2,heldout_event_balanced_nll,0.09408318996429443
