name,ee,depth,seed,topology,noise,family,duration_ms,group,observed_s,n_neurons,onset_threshold,mean_rate_hz,max_fraction_10ms,label,n_bursts,iei_median_s,cv,cv2,lag1_log_iei_r,half_median_ratio,burst_duty,max_burst_s,acf_peak,spectral_peak_hz,threshold_stable,median_peak_active_fraction_2ms,ordering_p,ordering_peak_hz,ordering_peak_score,v1_label,measurement_version,actual_duration_ms
ee0.85_d1_n1_t2711_s848101,0.85,1.0,848101,2711,True,new_network,20000.0,allE,18.0,32000,0.1,9.642086805555556,0.27965625,regular_bursts,60,0.3099999999999987,0.17515260636821375,0.20103987312810503,-0.041184137620411544,1.0163934426229504,0.3883333333333331,0.18,0.3511884581805577,3.25,True,0.1098125,0.455,3.0,4.602499252934784,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2711_s848101,0.85,1.0,848101,2711,True,new_network,20000.0,surroundE,18.0,30413,0.1,9.663402346218904,0.2698188274750929,regular_bursts,60,0.3000000000000007,0.17129498990861203,0.19902538666794017,-0.008039538052715884,1.0166666666666648,0.3811111111111108,0.18,0.3506793152262964,3.25,True,0.10322888238582185,0.32,3.0,4.977682272398413,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2711_s848102,0.85,1.0,848102,2711,True,new_network,20000.0,coreAE,18.0,771,0.1,11.069750684536677,1.0,variable_bursts,61,0.27999999999999936,0.2812085983920098,0.2978051118598395,-0.08841760977678471,1.0178571428571441,0.11611111111111118,0.07,0.16613102704162924,4.0,True,0.5642023346303502,0.78,10.11111111111111,3.908545310412056,variable_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2711_s848102,0.85,1.0,848102,2711,True,new_network,20000.0,coreBE,18.0,816,0.1,5.168028322440087,1.0,variable_bursts,59,0.2999999999999998,0.31504961259170067,0.3248431572185852,-0.08323723249632323,1.0714285714285665,0.1205555555555556,0.08,0.07495237002775668,4.0,True,0.17647058823529413,0.29,14.833333333333332,5.068271322096192,variable_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2711_s848102,0.85,1.0,848102,2711,True,new_network,20000.0,coreUnionE,18.0,1587,0.1,8.035216691171323,0.6011342155009451,irregular_bursts,98,0.21000000000000085,0.6173092663924207,0.9986163738065724,-0.5337211338024008,1.125,0.19499999999999984,0.1,0.12478117035172916,3.0,True,0.15217391304347827,0.975,10.944444444444445,3.289122311196398,irregular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2711_s848102,0.85,1.0,848102,2711,True,new_network,20000.0,allE,18.0,32000,0.1,9.085965277777778,0.28775,regular_bursts,55,0.3099999999999987,0.2951912095988163,0.2504292875524925,0.16965499844574347,1.0333333333333325,0.3594444444444442,0.19,0.34648730224764335,3.0,True,0.110625,0.36,6.777777777777778,4.822763994832352,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2711_s848102,0.85,1.0,848102,2711,True,new_network,20000.0,surroundE,18.0,30413,0.1,9.140795054746324,0.2774142636372604,regular_bursts,55,0.3099999999999987,0.2930902602496157,0.243938688346018,0.17710438254050984,1.033333333333334,0.3511111111111109,0.18,0.34613236885085685,3.0,True,0.10462631111695657,0.56,6.777777777777778,4.335822374538656,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n0_t2511_s848101,0.85,1.0,848101,2511,False,noise_off,20000.0,coreAE,18.0,720,0.1,0.0,0.0,background,0,,,,,,0.0,0.0,,,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n0_t2511_s848101,0.85,1.0,848101,2511,False,noise_off,20000.0,coreBE,18.0,742,0.1,0.0,0.0,background,0,,,,,,0.0,0.0,,,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n0_t2511_s848101,0.85,1.0,848101,2511,False,noise_off,20000.0,coreUnionE,18.0,1462,0.1,0.0,0.0,background,0,,,,,,0.0,0.0,,,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
