subject,seed_dir,control,k,random_index,random_variance_fidelity,pca_variance_fidelity,random_nll_loss,pca_nll_loss,pca_advantage_nll
epilepsiae_1073,seed_20260725,rank_shuffle_gru,2,3,0.0478161794448188,0.9372948584932926,0.1366679586621189,-0.0023444100468796,0.1390123687089985
epilepsiae_1073,seed_20260725,rank_shuffle_gru,2,4,0.0671475564634591,0.9372948584932926,0.1385809969608782,-0.0023444100468796,0.1409254070077579
epilepsiae_1073,seed_20260725,rank_shuffle_gru,2,5,0.0120581511632426,0.9372948584932926,0.1563920079716592,-0.0023444100468796,0.1587364180185388
epilepsiae_1073,seed_20260725,rank_shuffle_gru,2,6,0.0489531071802694,0.9372948584932926,0.140465639245702,-0.0023444100468796,0.1428100492925816
epilepsiae_1073,seed_20260725,rank_shuffle_gru,2,7,0.0090455191284005,0.9372948584932926,0.1611083923468996,-0.0023444100468796,0.1634528023937793
epilepsiae_1073,seed_20260725,rank_shuffle_gru,4,0,0.062450557757296,0.9863206409426856,0.1354431826410638,-0.0085770973156851,0.1440202799567489
epilepsiae_1073,seed_20260725,rank_shuffle_gru,4,1,0.1491466408863869,0.9863206409426856,0.1182817932072792,-0.0085770973156851,0.1268588905229644
epilepsiae_1073,seed_20260725,rank_shuffle_gru,4,2,0.0483213486257056,0.9863206409426856,0.1448568478623026,-0.0085770973156851,0.1534339451779878
epilepsiae_1073,seed_20260725,rank_shuffle_gru,4,3,0.1313558736490701,0.9863206409426856,0.133135388235678,-0.0085770973156851,0.1417124855513631
epilepsiae_1073,seed_20260725,rank_shuffle_gru,4,4,0.1270524070233776,0.9863206409426856,0.1416005768505523,-0.0085770973156851,0.1501776741662375
epilepsiae_1073,seed_20260725,rank_shuffle_gru,4,5,0.3245022774884131,0.9863206409426856,0.0969954270920769,-0.0085770973156851,0.1055725244077621
epilepsiae_1073,seed_20260725,rank_shuffle_gru,4,6,0.082793949449059,0.9863206409426856,0.1479128463864549,-0.0085770973156851,0.1564899437021401
epilepsiae_1073,seed_20260725,rank_shuffle_gru,4,7,0.120637299285954,0.9863206409426856,0.1438693317380965,-0.0085770973156851,0.1524464290537817
epilepsiae_1073,seed_20260725,rank_shuffle_gru,8,0,0.2121967745271746,0.9988540469988272,0.1168192738703162,-7.26211333781368e-05,0.1168918950036943
epilepsiae_1073,seed_20260725,rank_shuffle_gru,8,1,0.1576217606504496,0.9988540469988272,0.140562767299984,-7.26211333781368e-05,0.1406353884333622
epilepsiae_1073,seed_20260725,rank_shuffle_gru,8,2,0.276984443920739,0.9988540469988272,0.1189576566687762,-7.26211333781368e-05,0.1190302778021543
epilepsiae_1073,seed_20260725,rank_shuffle_gru,8,3,0.3118932453805725,0.9988540469988272,0.1018323940022605,-7.26211333781368e-05,0.1019050151356386
epilepsiae_1073,seed_20260725,rank_shuffle_gru,8,4,0.420172635319244,0.9988540469988272,0.0887388396913939,-7.26211333781368e-05,0.088811460824772
epilepsiae_1073,seed_20260725,rank_shuffle_gru,8,5,0.2582695252982969,0.9988540469988272,0.1173447423897284,-7.26211333781368e-05,0.1174173635231066
epilepsiae_1073,seed_20260725,rank_shuffle_gru,8,6,0.1161169759164659,0.9988540469988272,0.1459646383348931,-7.26211333781368e-05,0.1460372594682712
epilepsiae_1073,seed_20260725,rank_shuffle_gru,8,7,0.1538542736320393,0.9988540469988272,0.1358988354647796,-7.26211333781368e-05,0.1359714565981578
epilepsiae_1073,seed_20260725,rank_shuffle_gru,16,0,0.551554261710085,0.999885626509003,0.1039115158624812,0.0001609942849469,0.1037505215775342
epilepsiae_1073,seed_20260725,rank_shuffle_gru,16,1,0.4306953782874961,0.999885626509003,0.1136573720648552,0.0001609942849469,0.1134963777799082
epilepsiae_1073,seed_20260725,rank_shuffle_gru,16,2,0.5755033391052681,0.999885626509003,0.0558108547142528,0.0001609942849469,0.0556498604293058
epilepsiae_1073,seed_20260725,rank_shuffle_gru,16,3,0.6533337677650981,0.999885626509003,0.055579036135376,0.0001609942849469,0.055418041850429
epilepsiae_1073,seed_20260725,rank_shuffle_gru,16,4,0.2364634495729554,0.999885626509003,0.1258615253268673,0.0001609942849469,0.1257005310419203
epilepsiae_1073,seed_20260725,rank_shuffle_gru,16,5,0.5266386223859928,0.999885626509003,0.0466323863304707,0.0001609942849469,0.0464713920455237
epilepsiae_1073,seed_20260725,rank_shuffle_gru,16,6,0.5446165766937456,0.999885626509003,0.0651755783972993,0.0001609942849469,0.0650145841123523
epilepsiae_1073,seed_20260725,rank_shuffle_gru,16,7,0.5877704299344799,0.999885626509003,0.0780292826625683,0.0001609942849469,0.0778682883776213
epilepsiae_1077,seed_20260725,full_history_gru,1,0,0.0588727068990786,0.5750266193488069,0.1850437565510567,0.0861637249657567,0.0988800315853
epilepsiae_1077,seed_20260725,full_history_gru,1,1,0.0076058767996273,0.5750266193488069,0.1952952785102146,0.0861637249657567,0.1091315535444579
